Country Code,Country,Sex,Year,Observed Percentage,Observed Persons
DEU,Germany,Total,2003,24.3,17069614.7
CRI,Costa Rica,Female,2000,6.1,80320.652
DEU,Germany,Total,2005,23.2,16398260.42
DEU,Germany,Total,2009,21.9,15509894.92
DEU,Germany,Total,2013,20.9,14626434.04
DEU,Germany,Total,2017,18.8,13450805.17
DEU,Germany,Total,2021,14.6,10461441.66
FIN,Finland,Female,2000,20.3,444558.226
CRI,Costa Rica,Female,2006,8.6,132773.766
FIN,Finland,Female,2001,19.7,432877.162
CRI,Costa Rica,Female,2007,8.7,137423.808
FIN,Finland,Female,2002,19.9,438686.147
CRI,Costa Rica,Female,2008,8.9,143779.411
FIN,Finland,Female,2003,19.3,426927.194
CRI,Costa Rica,Female,2009,9.1,150209.15
FIN,Finland,Female,2004,19.5,433220.97
CRI,Costa Rica,Female,2010,9.3,156809.439
FIN,Finland,Female,2005,18.2,406406.546
CRI,Costa Rica,Female,2011,8.4,144555.18
FIN,Finland,Female,2006,18.9,424411.974
CRI,Costa Rica,Female,2012,7.5,131562.6
FIN,Finland,Female,2007,16.6,374974.744
CRI,Costa Rica,Female,2013,6.6,117906.03
FIN,Finland,Female,2008,17.6,399911.952
CRI,Costa Rica,Female,2014,5.8,105449.22
FIN,Finland,Female,2009,16,365642.72
CRI,Costa Rica,Female,2015,5.8,107335.38
FIN,Finland,Female,2010,15.7,360682.066
CRI,Costa Rica,Female,2016,5.9,111052.691
FIN,Finland,Female,2011,14.8,341639.796
CRI,Costa Rica,Female,2017,5.6,107040.192
FIN,Finland,Female,2012,14,324669.66
CRI,Costa Rica,Female,2018,5.3,102713.311
FIN,Finland,Female,2013,13.2,307406.748
CRI,Costa Rica,Female,2019,4.9,96342.869
FIN,Finland,Female,2014,14,327259.94
CRI,Costa Rica,Female,2020,4.6,91692.674
FIN,Finland,Female,2015,14.5,339990.49
CRI,Costa Rica,Female,2021,4.3,86851.185
FIN,Finland,Female,2016,15,352627.65
CRI,Costa Rica,Female,2022,3.8,77758.108
FIN,Finland,Female,2017,12,282747.72
FIN,Finland,Female,2018,13,306945.73
CAN,Canada,Female,2001,20.2,2585371.74
FIN,Finland,Female,2019,10,236744.1
FIN,Finland,Female,2020,11,261279.81
CAN,Canada,Female,2003,17,2233731.66
SWE,Sweden,Female,2000,21,774771.27
SWE,Sweden,Female,2001,19.9,737048.837
CAN,Canada,Female,2005,15.6,2103749.7
SWE,Sweden,Female,2002,16.1,598972.325
SWE,Sweden,Female,2003,16.5,617051.655
CAN,Canada,Female,2007,16.1,2230293.877
SWE,Sweden,Female,2004,14.8,556797.312
CAN,Canada,Female,2008,15.1,2119833.583
SWE,Sweden,Female,2005,13.8,522659.82
CAN,Canada,Female,2009,14.2,2020666.958
SWE,Sweden,Female,2006,14.1,538316.568
CAN,Canada,Female,2010,13.7,1975564.386
SWE,Sweden,Female,2007,12.8,492967.68
CAN,Canada,Female,2011,14,2041811.94
SWE,Sweden,Female,2008,12.9,501148.875
CAN,Canada,Female,2012,13.5,1990590.255
SWE,Sweden,Female,2009,13.3,521344.306
CAN,Canada,Female,2013,12.9,1921947.264
SWE,Sweden,Female,2010,12.5,493871.875
CAN,Canada,Female,2014,11.7,1760294.601
SWE,Sweden,Female,2011,12.4,492875.82
CAN,Canada,Female,2015,11.3,1712514.096
SWE,Sweden,Female,2012,13.1,523453.861
CAN,Canada,Female,2016,10.8,1654479.108
SWE,Sweden,Female,2013,11.7,470111.031
CAN,Canada,Female,2017,10,1551426
SWE,Sweden,Female,2014,12.1,489287.942
CAN,Canada,Female,2018,9.7,1526703.564
SWE,Sweden,Female,2015,10.7,435662.377
CAN,Canada,Female,2019,8.7,1390265.568
SWE,Sweden,Female,2016,11.2,459886.224
CAN,Canada,Female,2020,7.6,1228831.84
SWE,Sweden,Female,2017,10.3,427072.299
CAN,Canada,Female,2021,7.9,1286513.42
SWE,Sweden,Female,2018,9.2,385039.596
SWE,Sweden,Female,2019,10.6,447590.194
ISR,Israel,Female,2000,15.4,355863.2
SWE,Sweden,Female,2020,8.7,369975.591
SWE,Sweden,Female,2021,9.1,389615.681
ISR,Israel,Female,2002,15.3,370231.542
MEX,Mexico,Male,2000,20.5,6431063.61
MEX,Mexico,Male,2002,23.7,7736463.522
ISR,Israel,Female,2004,15.7,393548.132
MEX,Mexico,Male,2006,21.6,7630834.392
MEX,Mexico,Male,2008,16,5906924.48
ISR,Israel,Female,2006,13.9,360607.978
MEX,Mexico,Male,2009,11.8,4455639.644
MEX,Mexico,Male,2011,15.5,6105304.92
ISR,Israel,Female,2008,11.1,300056.976
MEX,Mexico,Male,2015,11.9,5044692.03
MEX,Mexico,Male,2016,10,4309442.6
ISR,Israel,Female,2010,12.6,354372.228
MEX,Mexico,Male,2018,12.5,5557740.375
MEX,Mexico,Male,2020,12.3,5632201.98
MEX,Mexico,Male,2021,13.2,6129478.212
ISR,Israel,Female,2013,10.8,319639.608
ISR,Israel,Female,2014,11.4,343651.404
ISR,Israel,Female,2016,14.1,441572.238
ISR,Israel,Female,2017,12.8,408539.776
ISR,Israel,Female,2019,11.4,378358.704
ESP,Spain,Male,2001,39.2,6634782.28
ESP,Spain,Male,2003,34.2,6018935.634
ESP,Spain,Male,2006,31.6,5873991.912
ESP,Spain,Male,2009,31.2,6050555.16
ESP,Spain,Male,2011,27.9,5425999.533
ESP,Spain,Male,2014,27.6,5301404.136
ESP,Spain,Male,2017,25.6,4923594.496
ESP,Spain,Male,2020,23.3,4588620.916
JPN,Japan,Total,2000,27,29273272.83
JPN,Japan,Total,2001,24.4,26597464
COL,Colombia,Total,2008,17.1,5268692.286
JPN,Japan,Total,2002,24,26240400
JPN,Japan,Total,2003,27.7,30391886
JPN,Japan,Total,2004,26.4,29027328
JPN,Japan,Total,2005,24.2,26664280.68
JPN,Japan,Total,2006,23.8,26286617.1
COL,Colombia,Total,2013,13,4369889.16
JPN,Japan,Total,2007,24.1,26679887.65
JPN,Japan,Total,2008,21.8,24166455.4
JPN,Japan,Total,2009,23.4,25962589.46
JPN,Japan,Total,2010,19.5,21687545.49
JPN,Japan,Total,2011,20.1,22335993.14
JPN,Japan,Total,2012,20.7,22984331.53
JPN,Japan,Total,2013,19.3,21424634.13
JPN,Japan,Total,2014,19.6,21752834.4
JPN,Japan,Total,2015,18.2,20229213.91
JPN,Japan,Total,2016,18.3,20355560.86
JPN,Japan,Total,2017,17.7,19696130.42
BEL,Belgium,Total,2001,24.1,2044017.641
JPN,Japan,Total,2018,17.8,19806973.5
JPN,Japan,Total,2019,16.7,18586428.33
BEL,Belgium,Total,2004,23.7,2044122.393
BEL,Belgium,Total,2008,20.5,1824578.105
BEL,Belgium,Total,2013,18.9,1745497.593
BEL,Belgium,Total,2018,15.4,1458891.434
SVN,Slovenia,Male,2007,22.4,190528.8
IRL,Ireland,Male,2002,27,410972.4
IRL,Ireland,Male,2007,25,434526
IRL,Ireland,Male,2015,20,361193.2
IRL,Ireland,Male,2016,21,384800.01
IRL,Ireland,Male,2017,20,371495.2
IRL,Ireland,Male,2018,19,359080.43
SVN,Slovenia,Male,2014,21.8,188736.116
IRL,Ireland,Male,2019,16,307439.84
IRL,Ireland,Male,2021,17,335259.04
IRL,Ireland,Male,2022,17,340942.31
EST,Estonia,Male,2000,45,235689.75
EST,Estonia,Male,2002,43.9,229910.885
SVN,Slovenia,Male,2019,19.3,170553.907
EST,Estonia,Male,2004,47.7,250048.17
EST,Estonia,Male,2006,40.5,211616.55
EST,Estonia,Male,2008,38.6,200465.24
EST,Estonia,Male,2010,36.8,189854.88
EST,Estonia,Male,2012,36.2,185004.444
EST,Estonia,Male,2014,31.4,159308.842
EST,Estonia,Male,2016,29.9,151911.136
DEU,Germany,Male,2003,29.8,10145518.17
EST,Estonia,Male,2018,23.4,119833.272
EST,Estonia,Male,2020,25.7,133069.717
DEU,Germany,Male,2005,27.9,9569827.782
EST,Estonia,Male,2022,21,110706.75
AUS,Australia,Male,2001,21.2,1596631.148
AUS,Australia,Male,2004,19,1492910.75
AUS,Australia,Male,2007,18.3,1514727.783
DEU,Germany,Male,2009,26.4,9097302.456
AUS,Australia,Male,2010,16.6,1463054.28
AUS,Australia,Male,2013,14.7,1361054.919
AUS,Australia,Male,2016,14,1351767.06
AUS,Australia,Male,2019,12.4,1258083.416
DEU,Germany,Male,2013,25.1,8533575.81
NLD,Netherlands,Male,2000,35,2227197
NLD,Netherlands,Male,2001,32.3,2071208.753
NLD,Netherlands,Male,2002,30.9,1995142.548
NLD,Netherlands,Male,2003,29.2,1894865.38
DEU,Germany,Male,2017,22.3,7818434.189
NLD,Netherlands,Male,2004,28.6,1863217.642
NLD,Netherlands,Male,2005,28.4,1856969.784
NLD,Netherlands,Male,2006,28.8,1890063.36
NLD,Netherlands,Male,2007,25.4,1674528.274
DEU,Germany,Male,2021,17.5,6145541.85
NLD,Netherlands,Male,2008,25.9,1718622.99
NLD,Netherlands,Male,2009,25.5,1705175.055
NLD,Netherlands,Male,2010,23.1,1555725.402
LUX,Luxembourg,Male,2001,29,50678.37
NLD,Netherlands,Male,2011,23.5,1593020.82
LUX,Luxembourg,Male,2002,30,53032.5
NLD,Netherlands,Male,2012,20.6,1404521.802
LUX,Luxembourg,Male,2003,34,60969.82
NLD,Netherlands,Male,2013,20.9,1432752.475
LUX,Luxembourg,Male,2004,30,54738
NLD,Netherlands,Male,2014,21.7,1497531.756
LUX,Luxembourg,Male,2005,27,50167.08
NLD,Netherlands,Male,2015,21.2,1474508.972
LUX,Luxembourg,Male,2006,24,45428.4
NLD,Netherlands,Male,2016,20.9,1466611.311
LUX,Luxembourg,Male,2007,24,46259.76
NLD,Netherlands,Male,2017,19.5,1380846.09
LUX,Luxembourg,Male,2008,23,45298.73
NLD,Netherlands,Male,2018,17.8,1271780.452
LUX,Luxembourg,Male,2009,22,44322.74
NLD,Netherlands,Male,2019,17.7,1276964.73
LUX,Luxembourg,Male,2010,20.9,43045.013
NLD,Netherlands,Male,2020,15.7,1142036.84
LUX,Luxembourg,Male,2011,18.4,39004.32
NLD,Netherlands,Male,2021,17.6,1289437.6
LUX,Luxembourg,Male,2012,18.4,40219.456
LUX,Luxembourg,Male,2013,17.6,39526.608
LUX,Luxembourg,Male,2014,17,39222.57
LUX,Luxembourg,Male,2015,16,37939.2
LUX,Luxembourg,Male,2016,17.3,42181.379
LUX,Luxembourg,Male,2017,18.1,45239.864
LUX,Luxembourg,Male,2018,15.7,40100.783
LUX,Luxembourg,Male,2019,17.6,45926.32
LUX,Luxembourg,Male,2020,17.7,47021.643
LUX,Luxembourg,Male,2021,21,56724.15
LUX,Luxembourg,Male,2022,21.2,58459.212
DEU,Germany,Female,2003,19.1,6914193.315
DEU,Germany,Female,2005,18.8,6839759.412
ESP,Spain,Female,2001,24.6,4405180.302
ESP,Spain,Female,2003,22.4,4141015.2
ESP,Spain,Female,2006,21.5,4155340.69
ESP,Spain,Female,2009,21.3,4279427.73
DEU,Germany,Female,2009,17.6,6399704.784
ESP,Spain,Female,2011,20.2,4090142.258
ESP,Spain,Female,2014,18.6,3756712.866
ESP,Spain,Female,2017,18.8,3820180.492
ESP,Spain,Female,2020,16.5,3438850.47
DEU,Germany,Female,2013,17.1,6153371.388
DEU,Germany,Female,2017,15.3,5582448.729
DEU,Germany,Female,2021,11.8,4311286.704
ITA,Italy,Female,2000,17.4,4422150.144
ITA,Italy,Female,2001,17.1,4351784.472
KOR,South Korea,Female,2001,4.2,792738.744
ITA,Italy,Female,2002,17.2,4386697.804
ITA,Italy,Female,2003,17.6,4513088.976
ITA,Italy,Female,2005,16.4,4261275.468
ITA,Italy,Female,2006,17.2,4487865.968
KOR,South Korea,Female,2005,4.7,920096.205
ITA,Italy,Female,2007,16.6,4360117.82
ITA,Italy,Female,2008,16.4,4343043.08
KOR,South Korea,Female,2007,5.4,1082842.29
ITA,Italy,Female,2009,17.1,4555785.249
KOR,South Korea,Female,2008,7.4,1505459.478
